size 1206x755
column profiles
x[0-49] avg=241
x[50-99] avg=237
x[100-149] avg=241
x[150-200] avg=240
x[201-250] avg=239
x[251-300] avg=243
x[301-350] avg=183
x[351-401] avg=1
x[402-451] avg=6
x[452-501] avg=1
x[502-551] avg=1
x[552-602] avg=1
x[603-652] avg=1
x[653-702] avg=4
x[703-752] avg=2
x[753-803] avg=2
x[804-853] avg=5
x[854-903] avg=2
x[904-953] avg=2
x[954-1004] avg=2
x[1005-1054] avg=5
x[1055-1104] avg=2
x[1105-1154] avg=2
x[1155-1205] avg=8
row profiles
y[0-46] avg=83
y[47-93] avg=69
y[94-140] avg=69
y[141-187] avg=70
y[188-234] avg=70
y[235-282] avg=68
y[283-329] avg=67
y[330-376] avg=67
y[377-423] avg=69
y[424-470] avg=68
y[471-518] avg=69
y[519-565] avg=59
y[566-612] avg=74
y[613-659] avg=72
y[660-706] avg=72
y[707-754] avg=72
